name,number,status
Attribute Access Handlers,213,Deferred
Adding A New Outer Product Operator,211,Rejected
Decoupling the Interpreter Loop,210,Rejected
Python Advanced Library,206,Withdrawn
Weak References,205,Final
Python 1.6 Release Schedule,160,Final
Collecting information about git,103,Withdrawn
Back to the __future__,236,Final
Doing Python Micro Releases,102,Superseded
Rich Comparisons,207,Final
Range Literals,204,Rejected
Reworking the Coercion Model,208,Final
Feature Requests,42,Withdrawn
Doing Python Releases 101,101,Active
The Zen of Python,20,Active
Extended Print Statement,214,Final
Multidimensional Arrays,209,Withdrawn
Python Unicode Integration,100,Final
Python Language Governance,13,Active
